Sentence 1,Sentence 2,Label
The weather is nice today.,Today's weather is pleasant.,1
I enjoy taking long walks in the park.,Taking long strolls in the park is fun.,1
இன்று காலநிலை நல்லது.,இன்றைய வானிலை இனிமையாக உள்ளது.,1
நான் பூங்காவில் நடந்துக்கொள்வது எனக்கு பிடிக்கும்.,நான் பூங்காவில் நடப்பதில் மகிழ்ச்சி அடைகிறேன்.,1
मौसम आज अच्छा है।,आज का मौसम सुखद है।,1
मुझे पार्क में लंबी सैर करना पसंद है।,पार्क में टहलना मजेदार है।,1
ఈ రోజు వాతావరణం బాగుంది.,ఈ రోజు వాతావరణం అనుకూలంగా ఉంది.,1
నాకు పార్కులో నడవడం చాలా ఇష్టం.,పార్కులో నడక చాలా సంతోషంగా ఉంటుంది.,1
The weather is nice today.,Today's weather is pleasant.,1
I enjoy taking long walks in the park.,Taking long strolls in the park is fun.,1
இன்று காலநிலை நல்லது.,இன்றைய வானிலை இனிமையாக உள்ளது.,1
நான் பூங்காவில் நடந்துக்கொள்வது எனக்கு பிடிக்கும்.,நான் பூங்காவில் நடப்பதில் மகிழ்ச்சி அடைகிறேன்.,1
मौसम आज अच्छा है।,आज का मौसम सुखद है।,1
मुझे पार्क में लंबी सैर करना पसंद है।,पार्क में टहलना मजेदार है।,1
ఈ రోజు వాతావరణం బాగుంది.,ఈ రోజు వాతావరణం అనుకూలంగా ఉంది.,1
నాకు పార్కులో నడవడం చాలా ఇష్టం.,పార్కులో నడక చాలా సంతోషంగా ఉంటుంది.,1
The weather is nice today.,Today's weather is pleasant.,1
I enjoy taking long walks in the park.,Taking long strolls in the park is fun.,1
இன்று காலநிலை நல்லது.,இன்றைய வானிலை இனிமையாக உள்ளது.,1
நான் பூங்காவில் நடந்துக்கொள்வது எனக்கு பிடிக்கும்.,நான் பூங்காவில் நடப்பதில் மகிழ்ச்சி அடைகிறேன்.,1
मौसम आज अच्छा है।,आज का मौसम सुखद है।,1
मुझे पार्क में लंबी सैर करना पसंद है।,पार्क में टहलना मजेदार है।,1
ఈ రోజు వాతావరణం బాగుంది.,ఈ రోజు వాతావరణం అనుకూలంగా ఉంది.,1
నాకు పార్కులో నడవడం చాలా ఇష్టం.,పార్కులో నడక చాలా సంతోషంగా ఉంటుంది.,1
The weather is nice today.,Today's weather is pleasant.,1
I enjoy taking long walks in the park.,Taking long strolls in the park is fun.,1
இன்று காலநிலை நல்லது.,இன்றைய வானிலை இனிமையாக உள்ளது.,1
நான் பூங்காவில் நடந்துக்கொள்வது எனக்கு பிடிக்கும்.,நான் பூங்காவில் நடப்பதில் மகிழ்ச்சி அடைகிறேன்.,1
मौसम आज अच्छा है।,आज का मौसम सुखद है।,1
मुझे पार्क में लंबी सैर करना पसंद है।,पार्क में टहलना मजेदार है।,1
ఈ రోజు వాతావరణం బాగుంది.,ఈ రోజు వాతావరణం అనుకూలంగా ఉంది.,1
నాకు పార్కులో నడవడం చాలా ఇష్టం.,పార్కులో నడక చాలా సంతోషంగా ఉంటుంది.,1
The weather is nice today.,Today's weather is pleasant.,1
I enjoy taking long walks in the park.,Taking long strolls in the park is fun.,1
இன்று காலநிலை நல்லது.,இன்றைய வானிலை இனிமையாக உள்ளது.,1
நான் பூங்காவில் நடந்துக்கொள்வது எனக்கு பிடிக்கும்.,நான் பூங்காவில் நடப்பதில் மகிழ்ச்சி அடைகிறேன்.,1
मौसम आज अच्छा है।,आज का मौसम सुखद है।,1
मुझे पार्क में लंबी सैर करना पसंद है।,पार्क में टहलना मजेदार है।,1
ఈ రోజు వాతావరణం బాగుంది.,ఈ రోజు వాతావరణం అనుకూలంగా ఉంది.,1
నాకు పార్కులో నడవడం చాలా ఇష్టం.,పార్కులో నడక చాలా సంతోషంగా ఉంటుంది.,1
The weather is nice today.,Today's weather is pleasant.,1
I enjoy taking long walks in the park.,Taking long strolls in the park is fun.,1
இன்று காலநிலை நல்லது.,இன்றைய வானிலை இனிமையாக உள்ளது.,1
நான் பூங்காவில் நடந்துக்கொள்வது எனக்கு பிடிக்கும்.,நான் பூங்காவில் நடப்பதில் மகிழ்ச்சி அடைகிறேன்.,1
मौसम आज अच्छा है।,आज का मौसम सुखद है।,1
मुझे पार्क में लंबी सैर करना पसंद है।,पार्क में टहलना मजेदार है।,1
ఈ రోజు వాతావరణం బాగుంది.,ఈ రోజు వాతావరణం అనుకూలంగా ఉంది.,1
నాకు పార్కులో నడవడం చాలా ఇష్టం.,పార్కులో నడక చాలా సంతోషంగా ఉంటుంది.,1
The weather is nice today.,Today's weather is pleasant.,1
I enjoy taking long walks in the park.,Taking long strolls in the park is fun.,1
இன்று காலநிலை நல்லது.,இன்றைய வானிலை இனிமையாக உள்ளது.,1
நான் பூங்காவில் நடந்துக்கொள்வது எனக்கு பிடிக்கும்.,நான் பூங்காவில் நடப்பதில் மகிழ்ச்சி அடைகிறேன்.,1
